No importa
 
 MODO TRUCO:

 En la pantalla principal escriba '328GTS' y aparecerá un mensaje.
 diciendo "Haz trampa ahora con Steve". Ahora puedes presionar el botón derecho del mouse.
 durante el juego para saltar niveles.

 CÓDIGOS NO IMPORTA - TODOS LOS 1000 NIVELES
 38 IPMNHI 294 IPPNII 550 IPWNZI 806 IPLNBI 
 39 RPMNHR 295 RPPNIR 551 RPWNZR 807 RPLNBR 
 40 WPMNHW 296 WPPNIW 552 WPWNZW 808 WPLNBW 
 41 NPMNHN 297 NPPNIN 553 NPWNZN 809 NPLNBN 
 42 ZPMNHZ 298 ZPPNIZ 554 ZPWNZZ 810 ZPLNBZ 
 43 TPMNHT 299 TPPNIT 555 TPWNZT 811 TPLNBT 
 44 LPMNHL 300 LPPNIL 556 LPWNZL 812 LPLNBL 
 45 QPMNHQ 301 QPPNIQ 557 QPWNZQ 813 QPLNBQ 
 46 BPMNHB 302 BPPNIB 558 BPWNZB 814 BPLNBB 
 47 FPMNHF 303 FPPNIF 559 FPWNZF 815 FPLNBF 
 48 UPMNHU 304 UPPNIU 560 UPWNZU 816 UPLNBU 
 49 XPMNHX 305 XPPNIX 561 XPWNZX 817 XPLNBX 
 50 KPMNHK 306 KPPNIK 562 KPWNZK 818 KPLNBK
51 SPMNHS 307 SPPNIS 563 SPWNZS 819 SPLNBS 
 52 EPMNHE 308 EPPNIE 564 EPWNZE 820 EPLNBE 
 53 CPMNHC 309 CPPNIC 565 CPWNZC 821 CPLNBC 
 54 YPMNHY 310 YPPNIY 566 YPWNZY 822 YPLNBY 
 55 OPMNHO 311 OPPNIO 567 OPWNZO 823 OPLNBO 
 56 DPMNHD 312 DPPNID 568 DPWNZD 824 DPLNBD 
 57 JPMNHJ 313 JPPNIJ 569 JPWNZJ 825 JPLNBJ 
 58 HRMZHZ 314 HRPZIZ 570 HRWZZZ 826 HRLZBZ 
 59 VRMZHT 315 VRPZIT 571 VRWZZT 827 VRLZBT 
 60 PRMZHL 316 PRPZIL 572 PRWZZL 828 PRLZBL 
 61 GRMZHQ 317 GRPZIQ 573 GRWZZQ 829 GRLZBQ 
 62 IRMZHB 318 IRPZIB 574 IRWZZB 830 IRLZBB 
 63 RRMZHF 319 RRPZIF 575 RRWZZF 831 RRLZBF 
 64 MWATVM 320 MWGTRM 576 MWNTTM 832 MWQTFM 
 65 AWATVA 321 AWGTRA 577 AWNTTA 833 AWQTFA 
 66 HWATVH 322 HWGTRH 578 HWNTTH 834 HWQTFH 
 67 VWATVV 323 VWGTRV 579 VWNTTV 835 VWQTFV 
 68 PWATVP 324 PWGTRP 580 PWNTTP 836 PWQTFP 
 69 GWATVG 325 GWGTRG 581 GWNTTG 837 GWQTFG 
 70 IWATVI 326 IWGTRI 582 IWNTTI 838 IWQTFI 
 71 RWATVR 327 RWGTRR 583 RWNTTR 839 RWQTFR 
 72 WWATVW 328 WWGTRW 584 WWNTTW 840 WWQTFW 
 73 NWATVN 329 NWGTRN 585 NWNTTN 841 NWQTFN 
 74 ZWATVZ 330 ZWGTRZ 586 ZWNTTZ 842 ZWQTFZ 
 75 TWATVT 331 TWGTRT 587 TWNTTT 843 TWQTFT 
 76 LWATVL 332 LWGTRL 588 LWNTTL 844 LWQTFL 
 77 QWATVQ 333 QWGTRQ 589 QWNTTQ 845 QWQTFQ 
 78 BWATVB 334 BWGTRB 590 BWNTTB 846 BWQTFB 
 79 FWATVF 335 FWGTRF 591 FWNTTF 847 FWQTFF 
 80 UWATVU 336 UWGTRU 592 UWNTTU 848 UWQTFU 
 81 XWATVX 337 XWGTRX 593 XWNTTX 849 XWQTFX 
 82 KWATVK 338 KWGTRK 594 KWNTTK 850 KWQTFK 
 83 SWATVS 339 SWGTRS 595 SWNTTS 851 SWQTFS 
 84 EWATVE 340 EWGTRE 596 EWNTTE 852 EWQTFE 
 85 CWATVC 341 CWGTRC 597 CWNTTC 853 CWQTFC 
 86 YWATVY 342 YWGTRY 598 YWNTTY 854 YWQTFY 
 87 OWATVO 343 OWGTRO 599 OWNTTO 855 OWQTFO 
 88 DWATVD 344 DWGTRD 600 DWNTTD 856 DWQTFD 
 89 JWATVJ 345 JWGTRJ 601 JWNTTJ 857 JWQTFJ 
 90 HTALVZ 346 HTGLRZ 602 HTNLTZ 858 HTQLFZ 
 91 VTALVT 347 VTGLRT 603 VTNLTT 859 VTQLFT 
 92 PTALVL 348 PTGLRL 604 PTNLTL 860 PTQLFL 
 93 GTALVQ 349 GTGLRQ 605 GTNLTQ 861 GTQLFQ 
 94 ITALVB 350 ITGLRB 606 ITNLTB 862 ITQLFB 
 95 RTALVF 351 RTGLRF 607 RTNLTF 863 RTQLFF 
 96 MLAQVM 352 MLGQRM 608 MLNQTM 864 MLQQFM 
 97 ALAQVA 353 ALGQRA 609 ALNQTA 865 ALQQFA 
 98 HLAQVH 354 HLGQRH 610 HLNQTH 866 HLQQFH 
 99 VLAQVV 355 VLGQRV 611 VLNQTV 867 VLQQFV 
100 PLAQVP 356 PLGQRP 612 PLNQTP 868 PLQQFP 
101 GLAQVG 357 GLGQRG 613 GLNQTG 869 GLQQFG 
102 ILAQVI 358 ILGQRI 614 ILNQTI 870 ILQQFI 
103 RLAQVR 359 RLGQRR 615 RLNQTR 871 RLQQFR 
104 WLAQVW 360 WLGQRW 616 WLNQTW 872 WLQQFW
105 NLAQVN 361 NLGQRN 617 NLNQTN 873 NLQQFN 
106 ZLAQVZ 362 ZLGQRZ 618 ZLNQTZ 874 ZLQQFZ 
107 TLAQVT 363 TLGQRT 619 TLNQTT 875 TLQQFT 
108 LLAQVL 364 LLGQRL 620 LLNQTL 876 LLQQFL 
109 QLQQVQ 365 QLGQRQ 621 QLNQTQ 877 QLQQFQ 
110 BLQVB 366 BLGQRB 622 BLNQTB 878 BLQQFB 
111 FLAQVF 367 FLGQRF 623 FLNQTF 879 FLQQFF 
112 ULAQVU 368 ULGQRU 624 ULNQTU 880 ULQQFU 
113 XLAQVX 369 XLGQRX 625 XLNQTX 881 XLQQFX 
114 KLAQVK 370 KLGQRK 626 KLNQTK 882 KLQQFK 
115 SLAQVS 371 SLGQRS 627 SLNQTS 883 SLQQFS 
116 ELAQVE 372 ELGQRE 628 ELNQTE 884 ELQQFE 
117 CLAQVC 373 CLGQRC 629 CLNQTC 885 CLQQFC 
118 YLAQVY 374 YLGQRY 630 YNLQTY 886 YLQQFY 
119 OLAQVO 375 OLGQRO 631 OLNQTO 887 OLQQFO 
120 DLAQVD 376 DLGQRD 632 DLNQTD 888 DLQQFD 
121 AFABVN 377 AFGBRN 633 AFNBTN 889 AFQBFN 
122 HFABVZ 378 HFGBRZ 634 HFNBTZ 890 HFQBFZ 
123 VFABVT 379 VFGBRT 635 VFNBTT 891 VFQBFT 
124 PFABVL 380 PFGBRL 636 PFNBTL 892 PFQBFL 
125 GFABVQ 381 GFGBRQ 637 GFNBTQ 893 GFQBFQ 
126 IFABVB 382 IFGBRB 638 IFNBTB 894 IFQBFB 
127 RFABVF 383 RFGBRF 639 RFNBTF 895 RFQBFF 
128 MMHFPM 384 MMIFWM 640 MMZFLM 896 MMBFUM 
129 AMHFPA 385 AMIFWA 641 AMZFLA 897 AMBFUA 
130 HMHFPH 386 HMIFWH 642 HMZFLH 898 HMBFUH 
131 VMHFPV 387 VMIFWV 643 VMZFLV 899 VMBFUV 
132 PMHFPP 388 PMIFWP 644 PMZFLP 900 PMBFUP 
133 GMHFPG 389 GMIFWG 645 GMZFLG 901 GMBFUG 
134 IMHFPI 390 IMIFWI 646 IMZFLI 902 IMBFUI 
135 RMHFPR 391 RMIFWR 647 RMZFLR 903 RMBFUR 
136 WMHFPW 392 WMIFWW 648 WMZFLW 904 WMBFUW 
137 NMHFPN 393 NMIFWN 649 NMZFLN 905 NMBFUN 
138 ZMHFPZ 394 ZMIFWZ 650 ZMZFLZ 906 ZMBFUZ 
139 TMHFPT 395 TMIFWT 651 TMZFLT 907 TMBFUT 
140 LMHFPL 396 LMIFWL 652 LMZFLL 908 LMBFUL 
141 QMHFPQ 397 QMIFWQ 653 QMZFLQ 909 QMBFUQ 
142 BMHFPB 398 BMIFWB 654 BMZFLB 910 BMBFUB 
143 FMHFPF 399 FMIFWF 655 FMZFLF 911 FMBFUF 
144 UMHFPU 400 UMIFWU 656 UMZFLU 912 UMBFUU 
145 XMHFPX 401 XMIFWX 657 XMZFLX 913 XMBFUX 
146 KMHFPK 402 KMIFWK 658 KMZFLK 914 KMBFUK 
147 SMHFPS 403 SMIFWS 659 SMZFLS 915 SMBFUS 
148 EMHFPE 404 EMIFWE 660 EMZFLE 916 EMBFUE 
149 CMHFPC 405 CMIFWC 661 CMZFLC 917 CMBFUC 
150 YMHFPY 406 YMIFWY 662 YMZFLY 918 YMBFUY 
151 OMHFPO 407 OMIFWO 663 OMZFLO 919 OMBFUO 
152 DMHFPD 408 DMIFWD 664 DMZFLD 920 DMBFUD 
153 JMHFPJ 409 JMIFWJ 665 JMZFLJ 921 JMBFUJ 
154 HVHUPZ 410 HVIUWZ 666 HVZULZ 922 HVBUUZ 
155 VVHUPT 411 VVIUWT 667 VVZULT 923 VVBUUT 
156 PVHUPL 412 PVIUWL 668 PVZULL 924 PVBUUL 
157 GVHUPQ 413 GVIUWQ 669 GVZULQ 925 GVBUUQ 
158 IVHUPB 414 IVIUWB 670 IVZULB 926 IVBUUB
159 RVHUPF 415 RVIUWF 671 RVZULF 927 RVBUUF 
160 MPHXPM 416 MPIXWM 672 MPZXLM 928 MPBXUM 
161 APHXPA 417 APIXWA 673 APZXLA 929 APBXUA 
162 HPHXPH 418 HPIXWH 674 HPZXLH 930 HPBXUH 
163 VPHXPV 419 VPIXWV 675 VPZXLV 931 VPBXUV 
164 PPHXPP 420 PPIXWP 676 PPZXLP 932 PPBXUP 
165 GPHXPG 421 GPIXWG 677 GPZXLG 933 GPBXUG 
166 IPHXPI 422 IPIXWI 678 IPZXLI 934 IPBXUI 
167 RPHXPR 423 RPIXWR 679 RPZXLR 935 RPBXUR 
168 WPHXPW 424 WPIXWW 680 WPZXLW 936 WPBXUW 
169 NPHXPN 425 NPIXWN 681 NPZXLN 937 NPBXUN 
170 ZPHXPZ 426 ZPIXWZ 682 ZPZXLZ 938 ZPBXUZ 
171 TPHXPT 427 TPIXWT 683 TPZXLT 939 TPBXUT 
172 LPHXPL 428 LPIXWL 684 LPZXLL 940 LPBXUL 
173 QPHXPQ 429 QPIXWQ 685 QPZXLQ 941 QPBXUQ 
174 BPHXPB 430 BPIXWB 686 BPZXLB 942 BPBXUB 
175 FPHXPF 431 FPIXWF 687 FPZXLF 943 FPBXUF 
176 UPHXPU 432 UPIXWU 688 UPZXLU 944 UPBXUU 
177 XPHXPX 433 XPIXWX 689 XPZXLX 945 XPBXUX 
178 KPHXPK 434 KPIXWK 690 KPZXLK 946 KPBXUK 
179 SPHXPS 435 SPIXWS 691 SPZXLS 947 SPBXUS 
180 EPHXPE 436 EPIXWE 692 EPZXLE 948 EPBXUE 
181 CPHXPC 437 CPIXWC 693 CPZXLC 949 CPBXUC 
182 YPHXPY 438 YPIXWY 694 YPZXLY 950 YPBXUY 
183 OPHXPO 439 OPIXWO 695 OPZXLO 951 OPBXUO 
184 DPHXPD 440 DPIXWD 696 DPZXLD 952 DPBXUD 
185 JPHXPJ 441 JPIXWJ 697 JPZXLJ 953 JPBXUJ 
186 HRHKPZ 442 HRIKWZ 698 HRZKLZ 954 HRBKUZ 
187 VRHKPT 443 VRIKWT 699 VRZKLT 955 VRBKUT 
188 PRHKPL 444 PRIKWL 700 PRZKLL 956 PRBKUL 
189 GRHKPQ 445 GRIKWQ 701 GRZKLQ 957 GRBKUQ 
190 IRHKPB 446 IRIKWB 702 IRZKLB 958 IRBKUB 
191 RRHKPF 447 RRIKWF 703 RRZKLF 959 RRBKUF 
192 MWVSGM 448 MWRSNM 704 MWTSQM 960 MWFSXM 
193 AWVSGA 449 AWRSNA 705 AWTSQA 961 AWFSXA 
194 HWVSGH 450 HWRSNH 706 HWTSQH 962 HWFSXH 
195 VWVSGV 451 VWRSNV 707 VWTSQV 963 VWFSXV 
196 PWVSGP 452 PWRSNP 708 PWTSQP 964 PWFSXP 
197 GWVSGG 453 GWRSNG 709 GWTSQG 965 GWFSXG 
198 IWVSGI 454 IWRSNI 710 IWTSQI 966 IWFSXI 
199 RWVSGR 455 RWRSNR 711 RWTSQR 967 RWFSXR 
200 WWVSGW 456 WWRSNW 712 WWTSQW 968 WWFSXW 
201 NWVSGN 457 NWRSNN 713 NWTSQN 969 NWFSXN 
202 ZWVSGZ 458 ZWRSNZ 714 ZWTSQZ 970 ZWFSXZ 
203 TWVSGT 459 TWRSNT 715 TWTSQT 971 TWFSXT 
204 LWVSGL 460 LWRSNL 716 LWTSQL 972 LWFSXL 
205 QWVSGQ 461 QWRSNQ 717 QWTSQQ 973 QWFSXQ 
206 BWVSGB 462 BWRSNB 718 BWTSQB 974 BWFSXB 
207 FWVSGF 463 FWRSNF 719 FWTSQF 975 FWFSXF 
208 UWVSGU 464 UWRSNU 720 UWTSQU 976 UWFSXU 
209 XWVSGX 465 XWRSNX 721 XWTSQX 977 XWFSXX 
210 KWVSGK 466 KWRSNK 722 KWTSQK 978 KWFSXK 
211 SWVSGS 467 SWRSNS 723 SWTSQS 979 SWFSXS 
212 EWVSGE 468 EWRSNE 724 EWTSQE 980 EWFSXE
213 CWVSGC 469 CWRSNC 725 CWTSQC 981 CWFSXC 
214 YWVSGY 470 YWRSNY 726 YWTSQY 982 YWFSXY 
215 OWVSGO 471 OWRSNO 727 OWTSQO 983 OWFSXO 
216 DWVSGD 472 DWRSND 728 DWTSQD 984 DWFSXD 
217 JWVSGJ 473 JWRSNJ 729 JWTSQJ 985 JWFSXJ 
218 HTVEGZ 474 HTRENZ 730 HTTEQZ 986 HTFEXZ 
219 VTVEGT 475 VTRENT 731 VTTEQT 987 VTFEXT 
220 PTVEGL 476 PTRENL 732 PTTEQL 988 PTFEXL 
221 GTVEGQ 477 GTRENQ 733 GTTEQQ 989 GTFEXQ 
222 ITVEGB 478 ITRENB 734 ITTEQB 990 ITFEXB 
223 RTVEGF 479 RTRENF 735 RTTEQF 991 RTFEXF 
224 MLHQPM 480 MLIQWM 736 MLZQLM 992 MLBQUM 
225 ALHQPA 481 ALIQWA 737 ALZQLA 993 ALBQUA 
226 HLHQPH 482 HLIQWH 738 HLZQLH 994 HLBQUH 
227 VLHQPV 483 VLIQWV 739 VLZQLV 995 VLBQUV 
228 PLHQPP 484 PLIQWP 740 PLZQLP 996 PLBQUP 
229 GLHQPG 485 GLIQWG 741 GLZQLG 997 GLBQUG 
230 ILHQPI 486 ILIQWI 742 ILZQLI 998 ILBQUI 
231 RLHQPR 487 RLIQWR 743 RLZQLR 999 RLBQUR 
232 WLHQPW 488 WLIQWW 744 WLZQLW          
233 NLHQPN 489 NLIQWN 745 NLZQLN          
234 ZLHQPZ 490 ZLIQWZ 746 ZLZQLZ          
235 TLHQPT 491 TLIQWT 747 TLZQLT          
236 LLHQPL 492 LLIQWL 748 LLZQLL          
237 QLHQPQ 493 QLIQWQ 749 QLZQLQ          
238 BLHQPB 494 BLIQWB 750 BLZQLB          
239 FLHQPF 495 FLIQWF 751 FLZQLF          
240 ULHQPU 496 ULIQWU 752 ULZQLU          
241 XLHQPX 497 XLIQWX 753 XLZQLX          
242 KLHQPK 498 KLIQWK 754 KLZQLK          
243 SLHQPS 499 SLIQWS 755 SLZQLS          
244 ELHQPE 500 ELIQWE 756 ELZQLE          
245 CLHQPC 501 CLIQWC 757 CLZQLC          
246 YLHQPY 502 YLIQWY 758 YLZQLY          
247 OLHQPO 503 OLIQWO 759 OLZQLO          
248 DLHQPD 504 DLIQWD 760 DLZQLD          
249 JLHQPJ 505 JLIQWJ 761 JLZQLJ          
250 HFVYGZ 506 HFRYNZ 762 HFTYQZ          
251 VFVYGT 507 VFRYNT 763 VFTYQT          
252 PFVYGL 508 PFRYNL 764 PFTYQL          
253 GFVYGQ 509 GFRYNQ 765 GFTYQQ          
254 IFVYGB 510 IFRYNB 766 IFTYQB          
255 RFVYGF 511 RFRYNF 767 RFTYQF          
 
 
    CLAVE DEL CÓDIGO: M A H V P G I R W N Z T L Q B F U X K S E C Y O D J
